round_id,round_name,year_id,year,stage
11338,Extra Preliminary Round,71295,1937,1
11334,Semi-Final,71294,1936,13
11335,Sixth Round Proper,71294,1936,12
11325,Fifth Round Proper,71294,1936,11
11330,Fourth Round Proper,71294,1936,10
11337,Third Round Proper,71294,1936,9
11333,Second Round Proper,71294,1936,8
11328,First Round Proper,71294,1936,7
11329,Fourth Qualifying Round,71294,1936,6
11336,Third Qualifying Round,71294,1936,5
11332,Second Qualifying Round,71294,1936,4
11327,First Qualifying Round,71294,1936,3
11331,Preliminary Round,71294,1936,2
11324,Extra Preliminary Round,71294,1936,1
9938,Semi-Final,71051,2003,13
9937,Sixth Round Proper,71051,2003,12
9936,Fifth Round Proper,71051,2003,11
9935,Fourth Round Proper,71051,2003,10
9934,Third Round Proper,71051,2003,9
9933,Second Round Proper,71051,2003,8
9932,First Round Proper,71051,2003,7
9931,Fourth Qualifying Round,71051,2003,6
9930,Third Qualifying Round,71051,2003,5
9929,Second Qualifying Round,71051,2003,4
9928,First Qualifying Round,71051,2003,3
9927,Preliminary Round,71051,2003,2
9926,Extra Preliminary Round,71051,2003,1
10081,Semi-Final,71053,2005,13
10080,Sixth Round Proper,71053,2005,12
10079,Fifth Round Proper,71053,2005,11
10078,Fourth Round Proper,71053,2005,10
10077,Third Round Proper,71053,2005,9
10076,Second Round Proper,71053,2005,8
10075,First Round Proper,71053,2005,7
10074,Fourth Qualifying Round,71053,2005,6
10073,Third Qualifying Round,71053,2005,5
10072,Second Qualifying Round,71053,2005,4
10071,First Qualifying Round,71053,2005,3
10070,Preliminary Round,71053,2005,2
10069,Extra Preliminary Round,71053,2005,1
9868,Semi-Final,71050,2002,13
9867,Sixth Round Proper,71050,2002,12
9866,Fifth Round Proper,71050,2002,11
9865,Fourth Round Proper,71050,2002,10
9864,Third Round Proper,71050,2002,9
9863,Second Round Proper,71050,2002,8
9862,First Round Proper,71050,2002,7
9861,Fourth Qualifying Round,71050,2002,6
9860,Third Qualifying Round,71050,2002,5
9859,Second Qualifying Round,71050,2002,4
9858,First Qualifying Round,71050,2002,3
9857,Preliminary Round,71050,2002,2
9856,Extra Preliminary Round,71050,2002,1
11362,Semi-Final,71296,1938,13
11363,Sixth Round Proper,71296,1938,12
11353,Fifth Round Proper,71296,1938,11
11358,Fourth Round Proper,71296,1938,10
11365,Third Round Proper,71296,1938,9
11361,Second Round Proper,71296,1938,8
11356,First Round Proper,71296,1938,7
11357,Fourth Qualifying Round,71296,1938,6
11364,Third Qualifying Round,71296,1938,5
11360,Second Qualifying Round,71296,1938,4
11355,First Qualifying Round,71296,1938,3
11359,Preliminary Round,71296,1938,2
11352,Extra Preliminary Round,71296,1938,1
11278,Semi-Final,71290,1932,13
11279,Sixth Round Proper,71290,1932,12
11269,Fifth Round Proper,71290,1932,11
11274,Fourth Round Proper,71290,1932,10
11281,Third Round Proper,71290,1932,9
11277,Second Round Proper,71290,1932,8
11272,First Round Proper,71290,1932,7
11273,Fourth Qualifying Round,71290,1932,6
11280,Third Qualifying Round,71290,1932,5
11276,Second Qualifying Round,71290,1932,4
11271,First Qualifying Round,71290,1932,3
11275,Preliminary Round,71290,1932,2
11268,Extra Preliminary Round,71290,1932,1
10009,Semi-Final,71052,2004,13
10008,Sixth Round Proper,71052,2004,12
10007,Fifth Round Proper,71052,2004,11
10006,Fourth Round Proper,71052,2004,10
10005,Third Round Proper,71052,2004,9
10004,Second Round Proper,71052,2004,8
10003,First Round Proper,71052,2004,7
10002,Fourth Qualifying Round,71052,2004,6
10001,Third Qualifying Round,71052,2004,5
10000,Second Qualifying Round,71052,2004,4
9999,First Qualifying Round,71052,2004,3
9998,Preliminary Round,71052,2004,2
9997,Extra Preliminary Round,71052,2004,1
9523,Semi-Final,71045,1997,12
9522,Sixth Round Proper,71045,1997,11
9521,Fifth Round Proper,71045,1997,10
9520,Fourth Round Proper,71045,1997,9
9519,Third Round Proper,71045,1997,8
9518,Second Round Proper,71045,1997,7
9517,First Round Proper,71045,1997,6
9516,Fourth Qualifying Round,71045,1997,5
9515,Third Qualifying Round,71045,1997,4
9514,Second Qualifying Round,71045,1997,3
9513,First Qualifying Round,71045,1997,2
9512,Preliminary Round,71045,1997,1
10682,Semi-Final,71234,1872,4
10683,Third Round Proper,71234,1872,3
10681,Second Round Proper,71234,1872,2
10680,First Round Proper,71234,1872,1
10693,Semi-Final,71236,1874,4
10694,Third Round Proper,71236,1874,3
10692,Second Round Proper,71236,1874,2
10691,First Round Proper,71236,1874,1
12748,Semi Final,75769,2014,13
12747,Sixth Round Proper,75769,2014,12
12746,Fifth Round Proper,75769,2014,11
12745,Fourth Round Proper,75769,2014,10
12744,Third Round Proper,75769,2014,9
