home_team,away_team,round,year,replay,match_id,winner
WEST HAM UNITED,ARSENAL,SIXTH ROUND PROPER,1998,TRUE,70526,ARSENAL
EMLEY,LINCOLN CITY,SECOND ROUND PROPER,1998,TRUE,70442,EMLEY
BASINGSTOKE TOWN,NORTHAMPTON TOWN,SECOND ROUND PROPER,1998,TRUE,70439,NORTHAMPTON TOWN
HEREFORD UNITED,COLCHESTER UNITED,SECOND ROUND PROPER,1998,TRUE,70443,HEREFORD UNITED
BLACKBURN ROVERS,WEST HAM UNITED,FIFTH ROUND PROPER,1998,TRUE,70518,WEST HAM UNITED
READING,CARDIFF CITY,FOURTH ROUND PROPER,1998,TRUE,70506,READING
PORT VALE,ARSENAL,THIRD ROUND PROPER,1998,TRUE,70484,ARSENAL
SHEFFIELD WEDNESDAY,WATFORD,THIRD ROUND PROPER,1998,TRUE,70486,SHEFFIELD WEDNESDAY
SOLIHULL BOROUGH,DARLINGTON,FIRST ROUND PROPER,1998,TRUE,70417,DARLINGTON
BASINGSTOKE TOWN,WYCOMBE WANDERERS,FIRST ROUND PROPER,1998,TRUE,70405,BASINGSTOKE TOWN
COLCHESTER UNITED,BRENTFORD,FIRST ROUND PROPER,1998,TRUE,70409,COLCHESTER UNITED
EMLEY,MORECAMBE,FIRST ROUND PROPER,1998,TRUE,70410,EMLEY
KIDDERMINSTER HARRIERS,PLYMOUTH ARGYLE,FIRST ROUND PROPER,1999,TRUE,71104,PLYMOUTH ARGYLE
SLOUGH TOWN,MACCLESFIELD TOWN,FIRST ROUND PROPER,1999,TRUE,71109,MACCLESFIELD TOWN
WEST AUCKLAND TOWN,YEOVIL TOWN,FIRST ROUND PROPER,1999,TRUE,71111,YEOVIL TOWN
BRENTFORD,OLDHAM ATHLETIC,SECOND ROUND PROPER,1999,TRUE,71133,OLDHAM ATHLETIC
WIGAN ATHLETIC,NOTTS COUNTY,SECOND ROUND PROPER,1999,TRUE,71140,NOTTS COUNTY
LEICESTER CITY,ARSENAL,FOURTH ROUND PROPER,2000,TRUE,71913,LEICESTER CITY
WOLVERHAMPTON WANDERERS,SHEFFIELD WEDNESDAY,FOURTH ROUND PROPER,2000,TRUE,71914,SHEFFIELD WEDNESDAY
RUSHDEN & DIAMONDS,SHEFFIELD UNITED,THIRD ROUND PROPER,2000,TRUE,71895,SHEFFIELD UNITED
ASTON VILLA,BOLTON WANDERERS,SEMI-FINAL,2000,FALSE,71927,ASTON VILLA
WIMBLEDON,WYCOMBE WANDERERS,FIFTH ROUND PROPER,2001,TRUE,72653,WYCOMBE WANDERERS
SCUNTHORPE UNITED,BURNLEY,THIRD ROUND PROPER,2001,TRUE,72623,SCUNTHORPE UNITED
FOREST GREEN ROVERS,MACCLESFIELD TOWN,FIRST ROUND PROPER,2002,TRUE,73270,MACCLESFIELD TOWN
BURY,LINCOLN CITY,FIRST ROUND PROPER,2002,TRUE,73268,LINCOLN CITY
YORK CITY,COLCHESTER UNITED,FIRST ROUND PROPER,2002,TRUE,73277,YORK CITY
BURTON ALBION,OLDHAM ATHLETIC,FIRST ROUND PROPER,2003,TRUE,74001,OLDHAM ATHLETIC
QUEENS PARK RANGERS,VAUXHALL MOTORS(W CHESH),FIRST ROUND PROPER,2003,TRUE,74008,VAUXHALL MOTORS(W CHESH)
SUNDERLAND AFC,BLACKBURN ROVERS,FOURTH ROUND PROPER,2003,TRUE,74093,SUNDERLAND AFC
CREWE ALEXANDRA,AFC BOURNEMOUTH,THIRD ROUND PROPER,2003,TRUE,74069,AFC BOURNEMOUTH
READING,WALSALL,THIRD ROUND PROPER,2003,TRUE,74072,WALSALL
SHEFFIELD WEDNESDAY,SCUNTHORPE UNITED,SECOND ROUND PROPER,2004,TRUE,74796,SCUNTHORPE UNITED
CAMBRIDGE UNITED,MACCLESFIELD TOWN,SECOND ROUND PROPER,2004,TRUE,74794,MACCLESFIELD TOWN
ACCRINGTON STANLEY,AFC BOURNEMOUTH,SECOND ROUND PROPER,2004,TRUE,74792,ACCRINGTON STANLEY
SHEFFIELD UNITED,WEST HAM UNITED,FOURTH ROUND PROPER,2005,TRUE,75646,SHEFFIELD UNITED
SHEFFIELD UNITED,ARSENAL,FIFTH ROUND PROPER,2005,TRUE,75659,ARSENAL
BRENTFORD,BRISTOL CITY,FIRST ROUND PROPER,2005,TRUE,75554,BRENTFORD
LEEDS UNITED AFC,WIGAN ATHLETIC,THIRD ROUND PROPER,2006,TRUE,11316,WIGAN ATHLETIC
TAMWORTH,STOKE CITY,THIRD ROUND PROPER,2006,TRUE,11319,STOKE CITY
HARROGATE TOWN,TORQUAY UNITED,FIRST ROUND PROPER,2006,TRUE,722,TORQUAY UNITED
RUSHDEN & DIAMONDS,FC HALIFAX TOWN,FIRST ROUND PROPER,2006,TRUE,726,RUSHDEN & DIAMONDS
MIDDLESBROUGH,BRISTOL CITY,FOURTH ROUND PROPER,2007,TRUE,78969,MIDDLESBROUGH
WEST BROMWICH ALBION,MIDDLESBROUGH,FIFTH ROUND PROPER,2007,TRUE,79216,MIDDLESBROUGH
HARTLEPOOL UNITED,ROCHDALE AFC,FIRST ROUND PROPER,2007,TRUE,77823,HARTLEPOOL UNITED
BRISTOL ROVERS,LEYTON ORIENT,FIRST ROUND PROPER,2008,TRUE,83419,BRISTOL ROVERS
STAINES TOWN,STOCKPORT COUNTY,FIRST ROUND PROPER,2008,TRUE,83391,STAINES TOWN
BARNET,SWINDON TOWN,THIRD ROUND PROPER,2008,TRUE,84229,BARNET
BRISTOL ROVERS,FULHAM,THIRD ROUND PROPER,2008,TRUE,84231,BRISTOL ROVERS
SHEFFIELD WEDNESDAY,DERBY COUNTY,THIRD ROUND PROPER,2008,TRUE,84228,DERBY COUNTY
WEST BROMWICH ALBION,CHARLTON ATHLETIC,THIRD ROUND PROPER,2008,TRUE,84072,WEST BROMWICH ALBION
ALTRINCHAM,LUTON TOWN,FIRST ROUND PROPER,2009,TRUE,88703,LUTON TOWN
DERBY COUNTY,MILLWALL,THIRD ROUND PROPER,2010,TRUE,98587,DERBY COUNTY
MILTON KEYNES DONS,STEVENAGE,FIRST ROUND PROPER,2011,TRUE,121747,STEVENAGE
SOUTHEND UNITED,MACCLESFIELD TOWN,FIRST ROUND PROPER,2011,TRUE,121131,MACCLESFIELD TOWN
WOKING,BRIGHTON & HOVE ALBION,FIRST ROUND PROPER,2011,TRUE,121130,BRIGHTON & HOVE ALBION
MACCLESFIELD TOWN,SOUTHEND UNITED,FIRST ROUND PROPER,2011,FALSE,117115,MACCLESFIELD TOWN
CHELSEA,EVERTON,FOURTH ROUND PROPER,2011,TRUE,146638,EVERTON
WREXHAM,BRIGHTON & HOVE ALBION,THIRD ROUND PROPER,2012,TRUE,212816,BRIGHTON & HOVE ALBION
WALSALL,DAGENHAM & REDBRIDGE,SECOND ROUND PROPER,2012,TRUE,203790,DAGENHAM & REDBRIDGE
HASTINGS UNITED,HARROGATE TOWN,SECOND ROUND PROPER,2013,TRUE,310153,HASTINGS UNITED
SOUTHEND UNITED,BURY,SECOND ROUND PROPER,2013,TRUE,310148,SOUTHEND UNITED
BRADFORD CITY,NORTHAMPTON TOWN,FIRST ROUND PROPER,2013,TRUE,266989,BRADFORD CITY
SLOUGH TOWN,MANSFIELD TOWN,FIRST ROUND PROPER,2013,TRUE,266987,MANSFIELD TOWN
WIGAN ATHLETIC,ARSENAL,SEMI-FINAL,2014,FALSE,408081,ARSENAL
WORCESTER CITY,SCUNTHORPE UNITED,SECOND ROUND PROPER,2015,TRUE,434173,SCUNTHORPE UNITED
WEST HAM UNITED,EVERTON,THIRD ROUND PROPER,2015,TRUE,434349,WEST HAM UNITED
WOLVERHAMPTON WANDERERS,FULHAM,THIRD ROUND PROPER,2015,TRUE,434329,FULHAM
ARSENAL,MANCHESTER UNITED,FINAL,2005,FALSE,5000103,ARSENAL
LIVERPOOL,WEST HAM UNITED,FINAL,2006,FALSE,5000116,LIVERPOOL
MANCHESTER UNITED,EVERTON,SEMI-FINAL,2009,FALSE,90560,MANCHESTER UNITED
MARLOW,OLD WYKEHAMISTS,THIRD ROUND PROPER,1886,FALSE,17093,BYE
SOUTH READING,CLAPHAM ROVERS,THIRD ROUND PROPER,1886,FALSE,17100,BYE
SWIFTS,OLD HARROVIANS,THIRD ROUND PROPER,1886,FALSE,17102,BYE
