year,pos,league,team,round,stage
1959,6,ISTHMIAN LEAGUE - SENIOR SECTION,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1959,8,ISTHMIAN LEAGUE - SENIOR SECTION,WOKING,FIRST ROUND PROPER,8.0
1959,11,ISTHMIAN LEAGUE - SENIOR SECTION,ILFORD,FIRST ROUND PROPER,8.0
1959,5,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1959,9,KENT LEAGUE - DIVISION 1,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1959,5,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
1959,4,MIDLAND COUNTIES LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1959,5,MIDLAND COUNTIES LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1959,8,MIDLAND COUNTIES LEAGUE,CONSETT,FIRST ROUND PROPER,8.0
1959,16,MIDLAND COUNTIES LEAGUE,DENABY UNITED,FIRST ROUND PROPER,8.0
1959,1,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1959,5,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1959,1,SOUTHERN LEAGUE - NORTH WEST SECTION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1959,3,SOUTHERN LEAGUE - NORTH WEST SECTION,BOSTON UNITED,FIRST ROUND PROPER,8.0
1959,5,SOUTHERN LEAGUE - NORTH WEST SECTION,WORCESTER CITY,FIRST ROUND PROPER,8.0
1959,6,SOUTHERN LEAGUE - NORTH WEST SECTION,BATH CITY,FIRST ROUND PROPER,8.0
1959,9,SOUTHERN LEAGUE - NORTH WEST SECTION,WISBECH TOWN,FIRST ROUND PROPER,8.0
1959,7,SOUTHERN LEAGUE - SOUTH EAST SECTION,KING'S LYNN,FIRST ROUND PROPER,8.0
1960,2,ATHENIAN LEAGUE,BARNET,FIRST ROUND PROPER,8.0
1960,3,ATHENIAN LEAGUE,ENFIELD,FIRST ROUND PROPER,8.0
1960,1,CENTRAL ALLIANCE - DIVISION 1 NORTH,MATLOCK TOWN,FIRST ROUND PROPER,8.0
1960,10,CHESHIRE COUNTY LEAGUE,OSWESTRY TOWN,FIRST ROUND PROPER,8.0
1960,12,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1960,2,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1960,8,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1960,6,LANCASHIRE COMBINATION - DIVISION 1,BURSCOUGH,FIRST ROUND PROPER,8.0
1960,11,LANCASHIRE COMBINATION - DIVISION 1,PRESCOT CABLES,FIRST ROUND PROPER,8.0
1960,4,MIDLAND COUNTIES LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1960,5,MIDLAND COUNTIES LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1960,11,MIDLAND COUNTIES LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8.0
1960,1,NORTHERN LEAGUE,WEST AUCKLAND TOWN,FIRST ROUND PROPER,8.0
1960,3,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1960,4,NORTHERN LEAGUE,SHILDON,FIRST ROUND PROPER,8.0
1960,4,SOUTHERN LEAGUE - PREMIER DIVISION,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1960,10,SOUTHERN LEAGUE - PREMIER DIVISION,WISBECH TOWN,FIRST ROUND PROPER,8.0
1960,12,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1960,7,SOUTHERN LEAGUE - FIRST DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1960,14,SOUTHERN LEAGUE - FIRST DIVISION,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1960,2,WESTERN LEAGUE - DIVISION 1,SALISBURY,FIRST ROUND PROPER,8.0
1960,11,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
