year,pos,league,team,round,stage
1983,7,NORTHERN PREMIER LEAGUE PREMIER DIVISION,WORKINGTON,FIRST ROUND PROPER,8.0
1983,3,NORTH WEST COUNTIES LEAGUE DIVISION 1,HORWICH RMI,FIRST ROUND PROPER,8.0
1983,13,UNITED COUNTIES LEAGUE,HOLBEACH UNITED,FIRST ROUND PROPER,8.0
1983,7,WESTERN LEAGUE DIVISION 1,WIMBORNE TOWN,FIRST ROUND PROPER,8.0
1984,1,CONFERENCE (ALLIANCE PREMIER LEAGUE),MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1984,3,CONFERENCE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1984,4,CONFERENCE (ALLIANCE PREMIER LEAGUE),WEALDSTONE,FIRST ROUND PROPER,8.0
1984,7,CONFERENCE (ALLIANCE PREMIER LEAGUE),NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1984,8,CONFERENCE (ALLIANCE PREMIER LEAGUE),WORCESTER CITY,FIRST ROUND PROPER,8.0
1984,9,CONFERENCE (ALLIANCE PREMIER LEAGUE),BARNET,FIRST ROUND PROPER,8.0
1984,11,CONFERENCE (ALLIANCE PREMIER LEAGUE),TELFORD UNITED,FIRST ROUND PROPER,8.0
1984,12,CONFERENCE (ALLIANCE PREMIER LEAGUE),FRICKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1984,14,CONFERENCE (ALLIANCE PREMIER LEAGUE),ENFIELD,FIRST ROUND PROPER,8.0
1984,18,CONFERENCE (ALLIANCE PREMIER LEAGUE),DAGENHAM,FIRST ROUND PROPER,8.0
1984,19,CONFERENCE (ALLIANCE PREMIER LEAGUE),KETTERING TOWN,FIRST ROUND PROPER,8.0
1984,21,CONFERENCE (ALLIANCE PREMIER LEAGUE),BANGOR CITY,FIRST ROUND PROPER,8.0
1984,1,ISTHMIAN LEAGUE DIVISION 1,WINDSOR & ETON,FIRST ROUND PROPER,8.0
1984,6,ISTHMIAN LEAGUE DIVISION 1,FARNBOROUGH,FIRST ROUND PROPER,8.0
1984,5,SERVOWARM ISTHMIAN LEAGUE DIVSION 2,CORINTHIAN CASUALS,FIRST ROUND PROPER,8.0
1984,1,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,HARROW BOROUGH,FIRST ROUND PROPER,8.0
1984,7,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1984,16,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,BARKING,FIRST ROUND PROPER,8.0
1984,3,DRYBOROUGHS NORTHERN LEAGUE DIVISION 1,WHITBY TOWN,FIRST ROUND PROPER,8.0
1984,5,NORTHERN PREMIER LEAGUE PREMIER DIVISION,BURTON ALBION,FIRST ROUND PROPER,8.0
1984,6,NORTHERN PREMIER LEAGUE PREMIER DIVISION,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1984,11,NORTHERN PREMIER LEAGUE PREMIER DIVISION,HYDE UNITED,FIRST ROUND PROPER,8.0
1984,22,NORTHERN PREMIER LEAGUE PREMIER DIVISION,MOSSLEY,FIRST ROUND PROPER,8.0
1984,2,NORTH WEST COUNTIES LEAGUE DIVISION 1,PENRITH,FIRST ROUND PROPER,8.0
1984,1,SOUTHERN LEAGUE PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8.0
1984,3,SOUTHERN LEAGUE PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1984,13,SOUTHERN LEAGUE PREMIER DIVISION,AP LEAMINGTON,FIRST ROUND PROPER,8.0
1984,6,SOUTHERN LEAGUE SOUTHERN DIVISION,POOLE TOWN,FIRST ROUND PROPER,8.0
1985,5,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1985,9,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1985,11,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),FRICKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1985,12,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),KETTERING TOWN,FIRST ROUND PROPER,8.0
1985,15,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),BARNET,FIRST ROUND PROPER,8.0
1985,16,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),WEYMOUTH,FIRST ROUND PROPER,8.0
1985,19,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),DAGENHAM,FIRST ROUND PROPER,8.0
1985,22,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),YEOVIL TOWN,FIRST ROUND PROPER,8.0
1985,20,ISTHMIAN LEAGUE DIVISION 1,METROPOLITAN POLICE,FIRST ROUND PROPER,8.0
1985,5,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,WINDSOR & ETON,FIRST ROUND PROPER,8.0
1985,6,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,BOGNOR REGIS TOWN,FIRST ROUND PROPER,8.0
1985,4,DRYBOROUGHS NORTHERN LEAGUE DIVISION 1,TOW LAW TOWN,FIRST ROUND PROPER,8.0
1985,7,DRYBOROUGHS NORTHERN LEAGUE DIVISION 1,WHITBY TOWN,FIRST ROUND PROPER,8.0
1985,2,NORTHERN PREMIER LEAGUE PREMIER DIVISION,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1985,6,NORTHERN PREMIER LEAGUE PREMIER DIVISION,BURTON ALBION,FIRST ROUND PROPER,8.0
1985,10,NORTHERN PREMIER LEAGUE PREMIER DIVISION,BANGOR CITY,FIRST ROUND PROPER,8.0
1985,16,NORTHERN PREMIER LEAGUE PREMIER DIVISION,GOOLE TOWN,FIRST ROUND PROPER,8.0
1985,4,NORTH WEST COUNTIES LEAGUE DIVISION 1,STALYBRIDGE CELTIC,FIRST ROUND PROPER,8.0
1985,20,NORTH WEST COUNTIES LEAGUE DIVISION 1,PENRITH,FIRST ROUND PROPER,8.0
1985,5,SOUTHERN LEAGUE MIDLAND DIVISION,V.S. RUGBY,FIRST ROUND PROPER,8.0
1985,2,SOUTHERN LEAGUE PREMIER DIVISION,KING'S LYNN,FIRST ROUND PROPER,8.0
1985,3,UNITED COUNTIES LEAGUE,BUCKINGHAM TOWN,FIRST ROUND PROPER,8.0
1985,1,VAUX WEARSIDE LEAGUE,NEWCASTLE BLUE STAR,FIRST ROUND PROPER,8.0
1986,1,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),ENFIELD,FIRST ROUND PROPER,8.0
1986,2,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),FRICKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1986,4,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1986,6,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),RUNCORN,FIRST ROUND PROPER,8.0
1986,8,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),TELFORD UNITED,FIRST ROUND PROPER,8.0
1986,10,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),WEALDSTONE,FIRST ROUND PROPER,8.0
1986,12,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),BATH CITY,FIRST ROUND PROPER,8.0
1986,13,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),BOSTON UNITED,FIRST ROUND PROPER,8.0
1986,15,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),SCARBOROUGH,FIRST ROUND PROPER,8.0
1986,17,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1986,19,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),DAGENHAM,FIRST ROUND PROPER,8.0
1986,20,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1986,21,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),DARTFORD,FIRST ROUND PROPER,8.0
1986,6,ISTHMIAN LEAGUE DIVISION 1,LEYTON-WINGATE,FIRST ROUND PROPER,8.0
1986,3,ISTHMIAN LEAGUE PREMIER DIVISION,FARNBOROUGH,FIRST ROUND PROPER,8.0
1986,6,ISTHMIAN LEAGUE PREMIER DIVISION,SLOUGH TOWN,FIRST ROUND PROPER,8.0
1986,7,ISTHMIAN LEAGUE PREMIER DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8.0
1986,11,ISTHMIAN LEAGUE PREMIER DIVISION,WINDSOR & ETON,FIRST ROUND PROPER,8.0
1986,15,ISTHMIAN LEAGUE PREMIER DIVISION,BOGNOR REGIS TOWN,FIRST ROUND PROPER,8.0
1986,16,NORTHERN LEAGUE DIVISION 1,WHITBY TOWN,FIRST ROUND PROPER,8.0
1986,3,NORTHERN PREMIER (MULTIPART) LEAGUE PREMIER DIVISION,MORECAMBE,FIRST ROUND PROPER,8.0
1986,9,NORTHERN PREMIER (MULTIPART) LEAGUE PREMIER DIVISION,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1986,15,NORTHERN PREMIER (MULTIPART) LEAGUE PREMIER DIVISION,SOUTH LIVERPOOL,FIRST ROUND PROPER,8.0
1986,20,NORTHERN PREMIER (MULTIPART) LEAGUE PREMIER DIVISION,CHORLEY,FIRST ROUND PROPER,8.0
1986,4,SOUTHERN LEAGUE MIDLAND DIVISION,V.S. RUGBY,FIRST ROUND PROPER,8.0
1986,2,SOUTHERN LEAGUE PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1986,8,SOUTHERN LEAGUE PREMIER DIVISION,AYLESBURY UNITED,FIRST ROUND PROPER,8.0
1986,19,SOUTHERN LEAGUE PREMIER DIVISION,FAREHAM TOWN,FIRST ROUND PROPER,8.0
1986,1,WEST MIDLAND LEAGUE PREMIER DIVISION,HALESOWEN TOWN,FIRST ROUND PROPER,8.0
1987,3,CONFERENCE (ALLIANCE PREMIER LEAGUE),MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1987,4,CONFERENCE (ALLIANCE PREMIER LEAGUE),ENFIELD,FIRST ROUND PROPER,8.0
1987,5,CONFERENCE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1987,6,CONFERENCE (ALLIANCE PREMIER LEAGUE),BOSTON UNITED,FIRST ROUND PROPER,8.0
1987,8,CONFERENCE (ALLIANCE PREMIER LEAGUE),RUNCORN,FIRST ROUND PROPER,8.0
1987,9,CONFERENCE (ALLIANCE PREMIER LEAGUE),TELFORD UNITED,FIRST ROUND PROPER,8.0
1987,13,CONFERENCE (ALLIANCE PREMIER LEAGUE),STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1987,16,CONFERENCE (ALLIANCE PREMIER LEAGUE),KETTERING TOWN,FIRST ROUND PROPER,8.0
1987,19,CONFERENCE (ALLIANCE PREMIER LEAGUE),WEALDSTONE,FIRST ROUND PROPER,8.0
1987,20,CONFERENCE (ALLIANCE PREMIER LEAGUE),WELLING UNITED,FIRST ROUND PROPER,8.0
1987,21,CONFERENCE (ALLIANCE PREMIER LEAGUE),FRICKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1987,1,ISTHMIAN LEAGUE DIVISON 2 SOUTH,WOKING,FIRST ROUND PROPER,8.0
1987,3,ISTHMIAN LEAGUE PREMIER DIVISION,SLOUGH TOWN,FIRST ROUND PROPER,8.0
1987,5,ISTHMIAN LEAGUE PREMIER DIVISION,BOGNOR REGIS TOWN,FIRST ROUND PROPER,8.0
1987,9,ISTHMIAN LEAGUE PREMIER DIVISION,FARNBOROUGH,FIRST ROUND PROPER,8.0
1987,10,ISTHMIAN LEAGUE PREMIER DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8.0
1987,3,NORTHERN LEAGUE DIVISION 1,SPENNYMOOR UNITED,FIRST ROUND PROPER,8.0
1987,11,NORTHERN LEAGUE DIVISION 1,WHITBY TOWN,FIRST ROUND PROPER,8.0
1987,3,NORTHERN PREMIER LEAGUE PREMIER DIVISION,CAERNARFON TOWN,FIRST ROUND PROPER,8.0
1987,8,NORTHERN PREMIER LEAGUE PREMIER DIVISION,SOUTHPORT,FIRST ROUND PROPER,8.0
1987,9,NORTHERN PREMIER LEAGUE PREMIER DIVISION,CHORLEY,FIRST ROUND PROPER,8.0
1987,1,SOUTHERN LEAGUE MIDLAND DIVISION,V.S. RUGBY,FIRST ROUND PROPER,8.0
1987,5,SOUTHERN LEAGUE MIDLAND DIVISION,HALESOWEN TOWN,FIRST ROUND PROPER,8.0
1987,2,SOUTHERN LEAGUE PREMIER DIVISION,BROMSGROVE ROVERS,FIRST ROUND PROPER,8.0
1987,3,SOUTHERN LEAGUE PREMIER DIVISION,AYLESBURY UNITED,FIRST ROUND PROPER,8.0
1987,4,SOUTHERN LEAGUE PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8.0
1987,5,SOUTHERN LEAGUE PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1987,14,SOUTHERN LEAGUE PREMIER DIVISION,FAREHAM TOWN,FIRST ROUND PROPER,8.0
1987,3,SOUTHERN LEAGUE SOUTHERN DIVISION,WOODFORD TOWN,FIRST ROUND PROPER,8.0
1988,1,CONFERENCE (ALLIANCE PREMIER LEAGUE),LINCOLN CITY,FIRST ROUND PROPER,8.0
1988,2,CONFERENCE (ALLIANCE PREMIER LEAGUE),BARNET,FIRST ROUND PROPER,8.0
1988,4,CONFERENCE (ALLIANCE PREMIER LEAGUE),RUNCORN,FIRST ROUND PROPER,8.0
1988,5,CONFERENCE (ALLIANCE PREMIER LEAGUE),TELFORD UNITED,FIRST ROUND PROPER,8.0
1988,7,CONFERENCE (ALLIANCE PREMIER LEAGUE),KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
1988,8,CONFERENCE (ALLIANCE PREMIER LEAGUE),SUTTON UNITED,FIRST ROUND PROPER,8.0
1988,9,CONFERENCE (ALLIANCE PREMIER LEAGUE),MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1988,11,CONFERENCE (ALLIANCE PREMIER LEAGUE),MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1988,13,CONFERENCE (ALLIANCE PREMIER LEAGUE),CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1988,14,CONFERENCE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1988,17,CONFERENCE (ALLIANCE PREMIER LEAGUE),NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1988,19,CONFERENCE (ALLIANCE PREMIER LEAGUE),WELLING UNITED,FIRST ROUND PROPER,8.0
1988,22,CONFERENCE (ALLIANCE PREMIER LEAGUE),DAGENHAM,FIRST ROUND PROPER,8.0
1988,8,ISTHMIAN LEAGUE PREMIER DIVISION,FARNBOROUGH,FIRST ROUND PROPER,8.0
1988,9,ISTHMIAN LEAGUE PREMIER DIVISION,CARSHALTON ATHLETIC,FIRST ROUND PROPER,8.0
1988,16,ISTHMIAN LEAGUE PREMIER DIVISION,BOGNOR REGIS TOWN,FIRST ROUND PROPER,8.0
1988,3,NORTHERN LEAGUE DIVISION 1,BILLINGHAM SYNTHONIA,FIRST ROUND PROPER,8.0
1988,6,NORTHERN LEAGUE DIVISION 1,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1988,1,NORTHERN PREMIER LEAGUE PREMIER DIVISION,CHORLEY,FIRST ROUND PROPER,8.0
1988,4,NORTH WEST COUNTIES LEAGUE DIVISION 1,COLWYN BAY,FIRST ROUND PROPER,8.0
1988,4,SOUTHERN LEAGUE MIDLAND DIVISION,ATHERSTONE UNITED,FIRST ROUND PROPER,8.0
1988,6,SOUTHERN LEAGUE MIDLAND DIVISION,HALESOWEN TOWN,FIRST ROUND PROPER,8.0
1988,1,SOUTHERN LEAGUE PREMIER DIVISION,AYLESBURY UNITED,FIRST ROUND PROPER,8.0
1988,5,SOUTHERN LEAGUE PREMIER DIVISION,WORCESTER CITY,FIRST ROUND PROPER,8.0
1988,16,SOUTHERN LEAGUE PREMIER DIVISION,BURTON ALBION,FIRST ROUND PROPER,8.0
1988,17,SOUTHERN LEAGUE PREMIER DIVISION,V.S. RUGBY,FIRST ROUND PROPER,8.0
1988,19,SOUTHERN LEAGUE PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1988,1,WEST MIDLAND LEAGUE PREMIER DIVISION,TAMWORTH,FIRST ROUND PROPER,8.0
1989,1,CONFERENCE (ALLIANCE PREMIER LEAGUE),MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1989,2,CONFERENCE (ALLIANCE PREMIER LEAGUE),KETTERING TOWN,FIRST ROUND PROPER,8.0
1989,6,CONFERENCE (ALLIANCE PREMIER LEAGUE),RUNCORN,FIRST ROUND PROPER,8.0
1989,9,CONFERENCE (ALLIANCE PREMIER LEAGUE),YEOVIL TOWN,FIRST ROUND PROPER,8.0
1989,10,CONFERENCE (ALLIANCE PREMIER LEAGUE),NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1989,11,CONFERENCE (ALLIANCE PREMIER LEAGUE),WELLING UNITED,FIRST ROUND PROPER,8.0
1989,12,CONFERENCE (ALLIANCE PREMIER LEAGUE),SUTTON UNITED,FIRST ROUND PROPER,8.0
1989,13,CONFERENCE (ALLIANCE PREMIER LEAGUE),ENFIELD,FIRST ROUND PROPER,8.0
1989,16,CONFERENCE (ALLIANCE PREMIER LEAGUE),TELFORD UNITED,FIRST ROUND PROPER,8.0
1989,18,CONFERENCE (ALLIANCE PREMIER LEAGUE),FISHER,FIRST ROUND PROPER,8.0
1989,19,CONFERENCE (ALLIANCE PREMIER LEAGUE),STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1989,20,CONFERENCE (ALLIANCE PREMIER LEAGUE),AYLESBURY UNITED,FIRST ROUND PROPER,8.0
1989,3,ISTHMIAN LEAGUE DIVISION 1,WOKING,FIRST ROUND PROPER,8.0
1989,5,ISTHMIAN LEAGUE PREMIER DIVISION,GRAYS ATHLETIC,FIRST ROUND PROPER,8.0
1989,9,ISTHMIAN LEAGUE PREMIER DIVISION,BOGNOR REGIS TOWN,FIRST ROUND PROPER,8.0
1989,12,ISTHMIAN LEAGUE PREMIER DIVISION,HENDON,FIRST ROUND PROPER,8.0
1989,18,ISTHMIAN LEAGUE PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1989,7,NORTHERN LEAGUE DIVISION 1,BRANDON UNITED,FIRST ROUND PROPER,8.0
1989,2,BANKS NORTHERN YOUTH LEAGUE,GUISBOROUGH TOWN,FIRST ROUND PROPER,8.0
1989,1,NORTHERN PREMIER LEAGUE PREMIER DIVISION,BARROW,FIRST ROUND PROPER,8.0
1989,9,NORTHERN PREMIER LEAGUE PREMIER DIVISION,FRICKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1989,14,NORTHERN PREMIER LEAGUE PREMIER DIVISION,SOUTHPORT,FIRST ROUND PROPER,8.0
1989,4,SOUTHERN LEAGUE MIDLAND DIVISION,HALESOWEN TOWN,FIRST ROUND PROPER,8.0
1989,2,SOUTHERN LEAGUE PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8.0
1989,10,SOUTHERN LEAGUE PREMIER DIVISION,BROMSGROVE ROVERS,FIRST ROUND PROPER,8.0
1989,17,SOUTHERN LEAGUE PREMIER DIVISION,WATERLOOVILLE,FIRST ROUND PROPER,8.0
1989,19,SOUTHERN LEAGUE PREMIER DIVISION,FAREHAM TOWN,FIRST ROUND PROPER,8.0
1989,3,WESSEX LEAGUE,NEWPORT COUNTY,FIRST ROUND PROPER,8.0
1952,12,NORTH EASTERN LEAGUE,BLACKHALL COLLIERY WELFARE,FIRST ROUND PROPER,8.0
1952,5,KENT LEAGUE,FOLKESTONE,FIRST ROUND PROPER,8.0
1952,1,SOUTHERN LEAGUE,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1952,3,SHEFFIELD ALLIANCE,RAWMARSH WELFARE,FIRST ROUND PROPER,8.0
1953,5,EASTERN COUNTIES,GREAT YARMOUTH TOWN,FIRST ROUND PROPER,8.0
1953,7,SOUTHERN LEAGUE,LLANELLI,FIRST ROUND PROPER,8.0
1953,1,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8.0
1954,5,EASTERN COUNTIES,GREAT YARMOUTH TOWN,FIRST ROUND PROPER,8.0
1954,13,SOUTHERN LEAGUE,LLANELLI,FIRST ROUND PROPER,8.0
1954,1,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8.0
1954,4,BIRMINGHAM & DISTRICT,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1955,3,CENTRAL ALLIANCE FIRST DIVISION SOUTH,CRESWELL COLLIERY,FIRST ROUND PROPER,8.0
1955,2,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8.0
1955,1,BIRMINGHAM & DISTRICT NORTHERN,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1956,4,WEARSIDE LEAGUE,EASINGTON CW,FIRST ROUND PROPER,8.0
1956,1,LINCONSHIRE LEAGUE,SKEGNESS TOWN,FIRST ROUND PROPER,8.0
1957,2,PETERBOROUGH & DISTRICT PREMIER ,ELY CITY,FIRST ROUND PROPER,8.0
1957,3,CENTRAL ALLIANCE FIRST DIVISION SOUTH,ILKESTON TOWN,FIRST ROUND PROPER,8.0
1957,1,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8.0
1958,3,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8.0
1959,12,SOUTHERN LEAGUE NORTH WEST,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1959,2,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8.0
1961,13,SOUTHERN PREMIER,FC CLACTON,FIRST ROUND PROPER,8.0
1961,1,SUSSEX COUNTY LEAGUE DIVISION ONE,CHICHESTER CITY,FIRST ROUND PROPER,8.0
1963,20,SOUTHERN PREMIER LEAGUE,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0
1963,3,SOUTH WESTERN LEAGUE,FALMOUTH TOWN,FIRST ROUND PROPER,8.0
1963,11,NORTHERN REGIONAL,GATESHEAD,FIRST ROUND PROPER,8.0
1964,4,NORTH EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1964,20,SOUTHERN DIVISION ONE,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0
1964,1,NORTHERN REGIONAL,GATESHEAD,FIRST ROUND PROPER,8.0
1965,10,WEARSIDE LEAGUE,ANNFIELD PLAIN,FIRST ROUND PROPER,8.0
1965,21,SOUTHERN DIVISION ONE,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0
1965,5,NORTH REGIONAL,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1966,17,SOUTHERN DIVISION ONE,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0
1966,10,NORTHERN REGIONAL,GATESHEAD,FIRST ROUND PROPER,8.0
1966,10,SOUTHERN LEAGUE FIRST DIVISION,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1966,4,NORTH REGIONAL,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1967,2,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1967,1,NORTH REGIONAL,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1967,6,CHESHIRE COUNTY,WITTON ALBION,FIRST ROUND PROPER,8.0
1968,3,WEARSIDE LEAGUE,COLLIERY WELFARE,FIRST ROUND PROPER,8.0
1968,1,SOUTH WESTERN LEAGUE,FALMOUTH TOWN,FIRST ROUND PROPER,8.0
1968,15,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1969,5,HAMPSHIRE LEAGUE DIVISION ONE,WATERLOOVILLE,FIRST ROUND PROPER,8.0
1970,2,SOUTH WESTERN LEAGUE,FALMOUTH TOWN,FIRST ROUND PROPER,8.0
1971,14,NORTHEN PREMIER LEAGUE,BRADFORD PARK AVENUE,FIRST ROUND PROPER,8.0
1971,1,SUSSEX COUNTY DIVISION 1,RINGMER,FIRST ROUND PROPER,8.0
1972,1,MIDLAND COMBINATION DIVISION ONE,ALVECHURCH,FIRST ROUND PROPER,8.0
1972,9,MIDLANDS LEAGUE,FRICKLEY COLLIERY,FIRST ROUND PROPER,8.0
1972,14,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1972,1,HELLENIC LEAGUE,WITNEY UNITED,FIRST ROUND PROPER,8.0
1973,9,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1973,3,HAMPSHIRE LEAGUE DIVISION ONE,ALTON TOWN,FIRST ROUND PROPER,8.0
1974,5,MIDLAND LEAGUE,FRICKLEY COLLIERY,FIRST ROUND PROPER,8.0
1974,16,SOUTHERN LEAGUE FIRST DIVISION NORTH,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1975,9,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1975,1,SUSSEX COUNTY DIVISION 1,SOUTHWICK,FIRST ROUND PROPER,8.0
1976,5,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1977,5,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1978,10,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1979,5,SOUTHERN PREMIER,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0
1979,1,SOUTHERN LEAGUE FIRST DIVISION NORTH,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1979,11,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1980,5,ALLIANCE PREMIER LEAGUE,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0
1980,5,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1980,10,ALLIANCE PREMIER LEAGUE,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1980,12,MIDLAND FOOTBALL COMBINATION DIVISION ONE,SOLIHULL MOORS,FIRST ROUND PROPER,8.0
1981,15,ALLIANCE PREMIER LEAGUE,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0
1982,1,SOUTHERN MIDLAND DIVISION,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1984,9,NORTHERN PREMIER LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8.0
1985,1,WELSH NATIONAL DIVISION,BARRY TOWN,FIRST ROUND PROPER,8.0
1985,2,ALLIANCE PREMIER LEAGUE,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1985,10,ALLIANCE PREMIER LEAGUE,TELFORD UNITED,FIRST ROUND PROPER,8.0
1986,18,ALLIANCE PREMIER LEAGUE,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1987,18,FOOTBALL CONFERENCE,NUNEATON TOWN,FIRST ROUND PROPER,8.0
1987,2,WELSH NATIONAL DIVISION,TON PENTRE,FIRST ROUND PROPER,8.0
