year,pos,league,team,round,stage
1965,17,METROPOLITAN LEAGUE,DARTFORD,FIRST ROUND PROPER,8
1965,7,SOUTHERN LEAGUE - PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8
1965,5,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1965,8,YORKSHIRE LEAGUE - FIRST DIVISION,SCARBOROUGH,FIRST ROUND PROPER,8
1965,1,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8
1965,6,WESTERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1965,22,SOUTHERN LEAGUE - PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8
1965,17,WESTERN LEAGUE,BATH CITY,FIRST ROUND PROPER,8
1966,9,CENTRAL ALLIANCE,BURTON ALBION,FIRST ROUND PROPER,8
1966,3,SOUTHERN LEAGUE - FIRST DIVISION,BURTON ALBION,FIRST ROUND PROPER,8
1966,1,CHESHIRE COUNTY LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8
1966,2,MANCHESTER LEAGUE - DIVISION 1,ALTRINCHAM,FIRST ROUND PROPER,8
1966,2,CHESHIRE COUNTY LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1966,6,MANCHESTER LEAGUE - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1966,11,LINCOLNSHIRE LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8
1966,3,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8
1966,7,METROPOLITAN LEAGUE,WIMBLEDON,FIRST ROUND PROPER,8
1966,5,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8
1966,10,METROPOLITAN LEAGUE,BARNET,FIRST ROUND PROPER,8
1966,1,SOUTHERN LEAGUE - FIRST DIVISION,BARNET,FIRST ROUND PROPER,8
1966,14,METROPOLITAN LEAGUE,DARTFORD,FIRST ROUND PROPER,8
1966,19,SOUTHERN LEAGUE - PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8
1966,16,METROPOLITAN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1966,4,SOUTHERN LEAGUE - PREMIER DIVISION,BEDFORD TOWN,FIRST ROUND PROPER,8
1966,11,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1966,11,YORKSHIRE LEAGUE - FIRST DIVISION,SCARBOROUGH,FIRST ROUND PROPER,8
1966,1,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8
1966,13,WESTERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1966,12,SOUTHERN LEAGUE - PREMIER DIVISION,CORBY TOWN,FIRST ROUND PROPER,8
1966,19,UNITED COUNTIES LEAGUE - DIVISION 1,CORBY TOWN,FIRST ROUND PROPER,8
1966,6,SOUTHERN LEAGUE - FIRST DIVISION,WISBECH TOWN,FIRST ROUND PROPER,8
1966,14,UNITED COUNTIES LEAGUE - DIVISION 1,WISBECH TOWN,FIRST ROUND PROPER,8
1967,2,CHESHIRE COUNTY LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1967,5,MANCHESTER LEAGUE - PREMIER DIVISION,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1967,3,LINCOLNSHIRE LEAGUE - DIVISION 1,GRANTHAM TOWN,FIRST ROUND PROPER,8
1967,3,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8
1967,11,LINCOLNSHIRE LEAGUE - DIVISION 1,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8
1967,1,MIDLAND COUNTIES LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8
1967,8,METROPOLITAN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1967,21,SOUTHERN LEAGUE - PREMIER DIVISION,BEDFORD TOWN,FIRST ROUND PROPER,8
1967,10,METROPOLITAN LEAGUE,WIMBLEDON,FIRST ROUND PROPER,8
1967,4,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8
1967,14,METROPOLITAN LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1967,9,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1967,14,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1967,21,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1968,4,LINCOLNSHIRE LEAGUE - DIVISION 1,GRANTHAM TOWN,FIRST ROUND PROPER,8
1968,6,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8
1968,11,LINCOLNSHIRE LEAGUE - DIVISION 1,BOSTON UNITED,FIRST ROUND PROPER,8
1968,1,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,BOSTON UNITED,FIRST ROUND PROPER,8
1968,1,METROPOLITAN LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1968,1,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1968,10,METROPOLITAN LEAGUE,WIMBLEDON,FIRST ROUND PROPER,8
1968,2,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8
1968,12,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1968,21,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1969,6,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8
1969,4,SOUTHERN LEAGUE - PREMIER DIVISION,KING'S LYNN,FIRST ROUND PROPER,8
1969,1,MANCHESTER LEAGUE - PREMIER DIVISION,MACCLESFIELD TOWN,FIRST ROUND PROPER,8
1969,1,NORTHERN PREMIER LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8
1969,2,MANCHESTER LEAGUE - PREMIER DIVISION,ALTRINCHAM,FIRST ROUND PROPER,8
1969,9,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8
1969,8,METROPOLITAN LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1969,13,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1969,8,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
