year,league,tier
1983,ISTHMIAN LEAGUE DIVISION 2,8
1983,NORTH WEST COUNTIES LEAGUE DIVISION 1,7
1983,NORTHERN COUNTIES EAST FOOTBALL LEAGUE PREMIER DIVISION,7
1983,NORTHERN LEAGUE,7
1983,SOUTHERN LEAGUE SOUTHERN DIVISION,7
1983,UNITED COUNTIES LEAGUE,8
1983,WESTERN LEAGUE DIVISION 1,8
1984,DRYBOROUGHS NORTHERN LEAGUE DIVISION 1,7
1984,ISTHMIAN LEAGUE DIVISION 1,7
1984,NORTH WEST COUNTIES LEAGUE DIVISION 1,7
1984,SERVOWARM ISTHMIAN LEAGUE DIVSION 2,8
1984,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,6
1984,SOUTHERN LEAGUE SOUTHERN DIVISION,7
1985,ALLIANCE PREMIER LEAGUE,5
1985,DRYBOROUGHS NORTHERN LEAGUE DIVISION 1,7
1985,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),5
1985,ISTHMIAN LEAGUE DIVISION 1,7
1985,NORTH WEST COUNTIES LEAGUE DIVISION 1,7
1985,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,6
1985,SOUTHERN LEAGUE MIDLAND DIVISION,7
1985,UNITED COUNTIES LEAGUE,8
1985,VAUX WEARSIDE LEAGUE,8
1985,WELSH NATIONAL DIVISION,8
1986,ALLIANCE PREMIER LEAGUE,5
1986,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),5
1986,ISTHMIAN LEAGUE DIVISION 1,7
1986,NORTHERN LEAGUE DIVISION 1,7
1986,NORTHERN PREMIER (MULTIPART) LEAGUE PREMIER DIVISION,6
1986,SOUTHERN LEAGUE MIDLAND DIVISION,7
1986,WEST MIDLAND LEAGUE PREMIER DIVISION,8
1987,ISTHMIAN LEAGUE DIVISON 2 SOUTH,8
1987,NORTHERN LEAGUE DIVISION 1,7
1987,SOUTHERN LEAGUE MIDLAND DIVISION,7
1987,SOUTHERN LEAGUE SOUTHERN DIVISION,7
1987,WELSH NATIONAL DIVISION,8
1988,NORTH WEST COUNTIES LEAGUE DIVISION 1,8
1988,NORTHERN LEAGUE DIVISION 1,8
1988,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
1988,SOUTHERN LEAGUE MIDLAND DIVISION,7
1988,WEST MIDLAND LEAGUE PREMIER DIVISION,8
1989,BANKS NORTHERN YOUTH LEAGUE,8
1989,ISTHMIAN LEAGUE DIVISION 1,7
1989,NORTHERN LEAGUE DIVISION 1,7
1989,SOUTHERN LEAGUE MIDLAND DIVISION,7
1989,WESSEX LEAGUE,8
1990,ISTHMIAN LEAGUE DIVISION ONE,7
1990,NORTHERN DIVISION ONE,8
1990,NORTHERN LEAGUE DIVISION ONE,8
1990,NORTHERN PREMIER LEAGUE DIVISION ONE,7
1990,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
1991,NORTHERN COUNTIES EAST PREMIER,8
