year,pos,league,team,round,stage
1959,14.0,ATHENIAN LEAGUE,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1959,4.0,CENTRAL ALLIANCE - DIVISION 1 NORTH,HEANOR TOWN,FIRST ROUND PROPER,8.0
1959,7.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1959,9.0,CHESHIRE COUNTY LEAGUE,BUXTON,FIRST ROUND PROPER,8.0
1959,3.0,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1959,6.0,ISTHMIAN LEAGUE - SENIOR SECTION,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1959,8.0,ISTHMIAN LEAGUE - SENIOR SECTION,WOKING,FIRST ROUND PROPER,8.0
1959,11.0,ISTHMIAN LEAGUE - SENIOR SECTION,ILFORD,FIRST ROUND PROPER,8.0
1959,5.0,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1959,9.0,KENT LEAGUE - DIVISION 1,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1959,5.0,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
1959,4.0,MIDLAND COUNTIES LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1959,5.0,MIDLAND COUNTIES LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1959,8.0,MIDLAND COUNTIES LEAGUE,CONSETT,FIRST ROUND PROPER,8.0
1959,16.0,MIDLAND COUNTIES LEAGUE,DENABY UNITED,FIRST ROUND PROPER,8.0
1959,1.0,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1959,5.0,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1959,1.0,SOUTHERN LEAGUE - NORTH WEST SECTION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1959,3.0,SOUTHERN LEAGUE - NORTH WEST SECTION,BOSTON UNITED,FIRST ROUND PROPER,8.0
1959,5.0,SOUTHERN LEAGUE - NORTH WEST SECTION,WORCESTER CITY,FIRST ROUND PROPER,8.0
1959,6.0,SOUTHERN LEAGUE - NORTH WEST SECTION,BATH CITY,FIRST ROUND PROPER,8.0
1959,9.0,SOUTHERN LEAGUE - NORTH WEST SECTION,WISBECH TOWN,FIRST ROUND PROPER,8.0
1959,7.0,SOUTHERN LEAGUE - SOUTH EAST SECTION,KING'S LYNN,FIRST ROUND PROPER,8.0
1960,2.0,ATHENIAN LEAGUE,BARNET,FIRST ROUND PROPER,8.0
1960,3.0,ATHENIAN LEAGUE,ENFIELD,FIRST ROUND PROPER,8.0
1960,1.0,CENTRAL ALLIANCE - DIVISION 1 NORTH,MATLOCK TOWN,FIRST ROUND PROPER,8.0
1960,10.0,CHESHIRE COUNTY LEAGUE,OSWESTRY TOWN,FIRST ROUND PROPER,8.0
1960,12.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1960,2.0,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1960,8.0,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1960,6.0,LANCASHIRE COMBINATION - DIVISION 1,BURSCOUGH,FIRST ROUND PROPER,8.0
1960,11.0,LANCASHIRE COMBINATION - DIVISION 1,PRESCOT CABLES,FIRST ROUND PROPER,8.0
1960,4.0,MIDLAND COUNTIES LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1960,5.0,MIDLAND COUNTIES LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1960,11.0,MIDLAND COUNTIES LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8.0
1960,1.0,NORTHERN LEAGUE,WEST AUCKLAND TOWN,FIRST ROUND PROPER,8.0
1960,3.0,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1960,4.0,NORTHERN LEAGUE,SHILDON,FIRST ROUND PROPER,8.0
1960,4.0,SOUTHERN LEAGUE - PREMIER DIVISION,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1960,10.0,SOUTHERN LEAGUE - PREMIER DIVISION,WISBECH TOWN,FIRST ROUND PROPER,8.0
1960,12.0,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1960,7.0,SOUTHERN LEAGUE - FIRST DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1960,14.0,SOUTHERN LEAGUE - FIRST DIVISION,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1960,2.0,WESTERN LEAGUE - DIVISION 1,SALISBURY,FIRST ROUND PROPER,8.0
1960,11.0,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1960,15.0,WESTERN LEAGUE - DIVISION 1,BARNSTAPLE TOWN,FIRST ROUND PROPER,8.0
1961,1.0,ATHENIAN LEAGUE,HENDON,FIRST ROUND PROPER,8.0
1961,4.0,ATHENIAN LEAGUE,SUTTON UNITED,FIRST ROUND PROPER,8.0
1961,5.0,ATHENIAN LEAGUE,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1961,2.0,CENTRAL ALLIANCE - DIVISION 1 SOUTH,LOUGHBOROUGH UNITED,FIRST ROUND PROPER,8.0
1961,1.0,CHESHIRE COUNTY LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1961,6.0,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1961,15.0,CHESHIRE COUNTY LEAGUE,CHICHESTER CITY,FIRST ROUND PROPER,8.0
1961,18.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1961,1.0,CORINTHIAN LEAGUE,MAIDENHEAD UNITED,FIRST ROUND PROPER,8.0
1961,2.0,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1961,8.0,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1961,2.0,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1961,4.0,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1961,12.0,SOUTHERN LEAGUE - PREMIER DIVISION,WORCESTER CITY,FIRST ROUND PROPER,8.0
1961,1.0,SOUTHERN LEAGUE - FIRST DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1961,14.0,SOUTHERN LEAGUE - FIRST DIVISION,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1961,16.0,SOUTHERN LEAGUE - FIRST DIVISION,DOVER,FIRST ROUND PROPER,8.0
1961,5.0,WESTERN LEAGUE,BRIDGWATER TOWN,FIRST ROUND PROPER,8.0
1961,10.0,YORKSHIRE LEAGUE - FIRST DIVISION,BRIDLINGTON TOWN,FIRST ROUND PROPER,8.0
1962,2.0,ATHENIAN LEAGUE,BARNET,FIRST ROUND PROPER,8.0
1962,2.0,BIRMINGHAM AND DISTRICT LEAGUE,BRIERLEY HILL ALLIANCE,FIRST ROUND PROPER,8.0
1962,10.0,BIRMINGHAM AND DISTRICT LEAGUE,BANBURY SPENCER,FIRST ROUND PROPER,8.0
1962,4.0,CHESHIRE COUNTY LEAGUE,NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1962,14.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1962,8.0,EASTERN COUNTIES LEAGUE,HARWICH & PARKESTON,FIRST ROUND PROPER,8.0
1962,3.0,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1962,7.0,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1962,1.0,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
